"Site","lat_WGS84","long_WGS84","ESP","DEM_30","Aspect","MrRTF","SlopeDeg","rad_k","rad_th","rad_u","NDVI_50","RED_50","rain","temp"
"203_GNSP_GN09_1",-36.33784,145.7164,0.417662475714869,202,4.03442912694765,0.66137570142746,6.43093681335449,0.786152124404907,9.50904750823975,1.52970623970032,0.310245275497437,1035.75,528.380249023438,14.5522985458374
"899_BGM_FSS_0066_1",-35.89311,148.222,1.6111703902106,785.752990722656,3.41042278666675,0,8.61366748809814,1.51826620101929,14.2339487075806,2.01141166687012,0.627881944179535,376.75,945.955017089844,10.9845361709595
"106_1004230_43_1",-34.97921,149.5112,2.42654096756346,825,3.41577307729673,0,5.5634126663208,0.328819453716278,6.19243621826172,0.942435443401337,0.447066217660904,812.285705566406,712.546203613281,11.5091915130615
"399_EDGEROI_na009_1",-30.43197,149.6416,24.5597784190225,237.1294,5.02131574864619,5.53788,0.3962564,0.4089582,7.935943,0.6626534,0.3145511,1126.5,626.8958,18.38919
"203_NWRS_HOP05_1",-35.77321,142.3907,0.911022632669526,86.4913482666016,5.24993739377283,4.72499895095825,0.544057548046112,0.448665767908096,4.4665002822876,0.710989356040955,0.161725088953972,1566.25,322.625518798828,15.3708696365356
"899_BGM_FSS_0139_1",-35.59656,148.2554,1.96994055362316,510.771453857422,2.00313283289392,0.57836902141571,6.38263320922852,1.14730250835419,8.78967571258545,1.72462737560272,0.682852566242218,356.833343505859,979.377075195312,12.9008502960205
"106_1000240_39_1",-36.02152,149.1209,6.85785574283708,736,0.460420338742241,1.58785223960876,0.887406349182129,1.51083517074585,12.7259016036987,1.75937831401825,0.336845010519028,1210.33337402344,507.338043212891,11.6243648529053
"898_RAALS_CP401_1",-34.87171,147.1108,4.03594316012387,226.253845214844,5.32870091564413,0,0.884123980998993,0.882303416728973,10.5860271453857,1.2663414478302,0.441985219717026,594.714294433594,511.223541259766,15.4848508834839
"106_1000604_238_1",-34.36012,148.008,2.6565605941456,324.232818603516,0.630628956121656,1.56613826751709,1.37242639064789,0.945244610309601,11.9687805175781,1.53344345092773,0.442521452903748,875.25,575.79931640625,14.8939085006714
"203_SHIA_SHIA6_1",-35.1867,143.3772,25.5526747139468,83.389,2.08005722258806,7.596076,0.4352708,0.6216674,5.406909,0.8784152,0.2666474,1380,323.8926,15.91971
"397_APSOIL_869_1",-31.53774,150.5304,6.98383464702997,320,5.34927358707144,3.742755,0.04667787,0.6932712,4.469937,0.6560258,0.1937805,1012.667,632.9865,16.57638
"397_APSOIL_191_1",-33.147,148.113,5.63342466668894,299.154876708984,4.94593968586914,2.62480354309082,2.08040356636047,0.979288697242737,9.57871246337891,1.04485321044922,0.248099148273468,1268.40002441406,549.958740234375,16.0418872833252
"399_DD_B153_1",-27.49841,151.5294,8.48974749859449,383,4.34399535384924,5.515253,0.272506,0.708259,3.396019,0.7171038,0.1902692,819,625.1068,18.05818
"106_1000493_236_1",-31.03398,150.5432,1.36985157359492,376.997009277344,0.723902245139075,1.59972596168518,3.47833371162415,1.17675673961639,5.82773637771606,1.09728264808655,0.474474191665649,935.142883300781,645.496276855469,16.699779510498
"106_1000935_202_1",-30.71448,150.0912,2.68922819123774,250.98713684082,3.3793428977972,2.64330434799194,1.48538529872894,1.35325300693512,8.85480499267578,0.921475887298584,0.404310822486877,825.642883300781,572.778137207031,17.9064865112305
"106_1000240_112_1",-36.11278,149.0567,2.36087100204012,972,3.06336868815533,0,5.62763833999634,1.2554692029953,13.4065685272217,1.81709492206573,0.460490524768829,852.5,521.227844238281,10.1819248199463
"199_CAN_C410_1",-34.79847,146.0679,9.59659077693606,125.1223,3.59930524992531,7.56016,0.09148159,1.0563,9.999987,1.32877,0.2459832,919.6667,405.8201,15.95233
"403_SA_Generic_026-56_2110_1",-34.99029,138.9424,3.12749029529906,381,2.03855567171112,0,9.86903762817383,1.42296874523163,12.2066459655762,1.5829803943634,0.515803933143616,929.5,680.802062988281,14.0481376647949
"399_EDGEROI_ed007_1",-30.00367,149.6799,15.4135163713895,208.8423,4.13991051375504,6.518801,0.1678079,0.3820435,6.322289,0.8755356,0.1308906,1235.667,608.7006,18.77914
"403_SA_Generic_098-CH060_4275_1",-34.96642,139.0525,19.5508312898648,372,0.829588195102214,2.72532367706299,1.55571937561035,1.04793429374695,17.5374927520752,2.06613397598267,0.324200570583344,1066,507.757141113281,14.0407695770264
"203_NWSP_MP31_1",-35.38419,142.4767,6.6987104769098,88.4765625,4.55177852873197,2.71050596237183,0.753718137741089,0.121100857853889,3.38000917434692,0.71563720703125,0.154375925660133,1942.5,311.027740478516,15.7394819259644
